id,observed_on,user_login,url,image_url,description,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,field:collector's name
46129997,2020-05-16,mbowser,https://www.inaturalist.org/observations/46129997,https://static.inaturalist.org/photos/73163328/medium.jpeg?1589657840,"2020-05-16_MLB01, under cottonwoods and spruce in mixed forest",Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
46132276,2020-05-16,mbowser,https://www.inaturalist.org/observations/46132276,https://static.inaturalist.org/photos/73166513/medium.jpeg?1589658711,"2020-05-16_MLB02, under spruce and birch",Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
46292862,2020-05-17,mbowser,https://www.inaturalist.org/observations/46292862,https://static.inaturalist.org/photos/73418758/medium.jpeg?1589748649,"2020-05-17_MLB01, under cottonwoods",Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
46293272,2020-05-17,mbowser,https://www.inaturalist.org/observations/46293272,https://static.inaturalist.org/photos/73419346/medium.jpeg?1589748803,"2020-05-17_MLB02, under cottonwoods",Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
47411794,2020-05-19,colcan927,https://www.inaturalist.org/observations/47411794,https://static.inaturalist.org/photos/75195597/medium.jpg?1590509826,,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Morchella tomentosa,
47411855,2020-05-19,colcan927,https://www.inaturalist.org/observations/47411855,https://static.inaturalist.org/photos/75195705/medium.jpg?1590509866,,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
47524671,2020-05-22,cahaba,https://www.inaturalist.org/observations/47524671,https://static.inaturalist.org/photos/75377675/medium.jpg?1590596949,vert_angle_deg=-71.7 / horiz_angle_deg=8.0,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
47524963,2020-05-22,cahaba,https://www.inaturalist.org/observations/47524963,https://static.inaturalist.org/photos/75378086/medium.jpg?1590597064,vert_angle_deg=-46.1 / horiz_angle_deg=-1.3,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
47738982,2020-05-26,mbowser,https://www.inaturalist.org/observations/47738982,https://static.inaturalist.org/photos/75726878/medium.jpeg?1590765903,"2020-05-26_MLB01, collected near spruce, birch, stunted cottonwoods, and grasses.",Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
47739517,2020-05-26,mbowser,https://www.inaturalist.org/observations/47739517,https://static.inaturalist.org/photos/75727906/medium.jpeg?1590766290,"2020-05-26_MLB02, near spruce, birch, stunted cottonwoods, and grass.",Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
48409941,2020-06-03,mbowser,https://www.inaturalist.org/observations/48409941,https://static.inaturalist.org/photos/76812602/medium.jpeg?1591245301,Under cottonwoods,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
50778241,2020-06-12,mbowser,https://www.inaturalist.org/observations/50778241,https://static.inaturalist.org/photos/80652362/medium.jpeg?1593011658,,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
50807719,2020-06-12,mbowser,https://www.inaturalist.org/observations/50807719,https://static.inaturalist.org/photos/80698469/medium.jpeg?1593027640,,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Gyromitra,,
51704078,2020-07-01,mbowser,https://www.inaturalist.org/observations/51704078,https://static.inaturalist.org/photos/82164530/medium.jpeg?1593706879,Collected.,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,,
52167014,2020-07-02,mbowser,https://www.inaturalist.org/observations/52167014,https://static.inaturalist.org/photos/82911543/medium.jpeg?1594056152,,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
52167410,2020-07-02,mbowser,https://www.inaturalist.org/observations/52167410,https://static.inaturalist.org/photos/82912084/medium.jpeg?1594056330,,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Morchella tomentosa,
52382438,2020-07-07,mbowser,https://www.inaturalist.org/observations/52382438,https://static.inaturalist.org/photos/83266253/medium.jpeg?1594227231,,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Morchella tomentosa,
57686894,2020-08-26,mbowser,https://www.inaturalist.org/observations/57686894,https://static.inaturalist.org/photos/92038251/medium.jpeg?1598483892,,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,,
58435560,2020-07-20,mbowser,https://www.inaturalist.org/observations/58435560,https://static.inaturalist.org/photos/93294510/medium.jpeg?1599156890,2020-07-20-MLB01,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
58435927,2020-07-20,mbowser,https://www.inaturalist.org/observations/58435927,https://static.inaturalist.org/photos/93295093/medium.jpeg?1599157091,,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,,
