guid,scientific_name,nature_of_id,made_date,type_status,publication_id,USE_EXISTING_ACCEPTED_ID,accepted_id_fg,use_pub_authors
KNWRObs:Herb:868,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:869,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:870,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:871,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:872,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:873,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:874,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:875,Plantae,unknown,2020-02-26,referral,10009015,0,0,1
KNWRObs:Herb:876,Plantae,unknown,2020-02-27,referral,10009015,0,0,1
KNWRObs:Herb:877,Plantae,unknown,2020-02-27,referral,10009015,0,0,1
KNWRObs:Herb:878,Plantae,unknown,2020-02-27,referral,10009015,0,0,1
KNWRObs:Herb:879,Plantae,unknown,2020-02-27,referral,10009015,0,0,1
KNWRObs:Herb:880,Plantae,unknown,2020-02-27,referral,10009015,0,0,1
KNWRObs:Herb:881,Plantae,unknown,2020-02-27,referral,10009015,0,0,1
KNWRObs:Herb:882,Plantae,unknown,2020-02-27,referral,10009015,0,0,1
KNWRObs:Herb:883,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:884,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:885,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:886,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:887,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:888,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:889,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:890,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:891,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:892,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:893,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:894,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:895,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:896,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:897,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:898,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:899,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:900,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:901,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:902,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:903,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:904,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:905,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:906,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:907,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:908,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:909,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:910,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:911,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:912,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:913,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:914,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:915,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:916,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:917,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:918,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:919,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:920,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:921,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:922,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:923,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:924,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:925,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:926,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:927,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:928,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:929,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:930,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:931,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:932,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:933,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:934,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:935,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:936,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:937,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:938,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:939,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:940,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:941,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:942,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:943,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:944,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:945,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:946,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:947,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:948,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:949,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:950,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
KNWRObs:Herb:951,Plantae,unknown,2020-02-28,referral,10009015,0,0,1
