guid,scientific_name,nature_of_id,made_date,type_status,publication_id,USE_EXISTING_ACCEPTED_ID,accepted_id_fg,use_pub_authors,occurs_page_number
KNWRObs:Herb:1000,Epipyxis kenaiensis,unknown,1963,holotype,10009577,1,0,1,371
KNWRObs:Herb:1001,Dinobryon divergens,unknown,1963,voucher,10009577,1,0,1,371
KNWRObs:Herb:1002,Asterionella formosa,unknown,1963,voucher,10009577,1,0,1,371
KNWRObs:Herb:1003,Dinobryon bavaricum,unknown,1963,voucher,10009577,1,0,1,371
KNWRObs:Herb:1004,Dinobryon sociale,unknown,1963,voucher,10009577,1,0,1,371
KNWRObs:Herb:1005,Chlamydomonas dinobryonii,unknown,1963,voucher,10009577,1,0,1,371
KNWRObs:Herb:1006,Ceratium hirundinella,unknown,1963,voucher,10009577,1,0,1,371
KNWRObs:Herb:1007,Dinobryon borgei,unknown,1963,voucher,10009577,1,0,1,372
KNWRObs:Herb:1008,Elakatothrix gelatinosa,unknown,1963,voucher,10009577,1,0,1,372
KNWRObs:Herb:1009,Epipyxis planctonica,unknown,1963,holotype,10009577,1,0,1,375
KNWRObs:Herb:1010,Melosira islandica,unknown,1963,voucher,10009577,1,0,1,375
KNWRObs:Herb:1011,Stephanodiscus niagarae,unknown,1963,voucher,10009577,1,0,1,375
KNWRObs:Herb:1012,Synura petersenii,unknown,1963,voucher,10009577,1,0,1,375
KNWRObs:Herb:1013,Mallomonas tonsurata,unknown,1963,voucher,10009577,1,0,1,375
KNWRObs:Herb:993,Salpingoeca frequentissima,unknown,1963,voucher,10009577,1,0,1,372
KNWRObs:Herb:994,Dinobryon suecicum,unknown,1963,voucher,10009577,1,0,1,372
KNWRObs:Herb:995,Fragilaria crotonensis,unknown,1963,voucher,10009577,1,0,1,375
KNWRObs:Herb:996,Epipyxis tabellariae,unknown,1963,voucher,10009577,1,0,1,346
KNWRObs:Herb:997,Epipyxis polymorpha,unknown,1963,voucher,10009577,1,0,1,355
KNWRObs:Herb:998,Epipyxis ramosa,unknown,1963,voucher,10009577,1,0,1,358
KNWRObs:Herb:999,Epipyxis gracilis,unknown,1963,voucher,10009577,1,0,1,369
